ref:ine;name;@type;@id;@lat;@lon
33032060301;Barredos;node;31514810;43.2596743;-5.5732961
33032051400;La Pola Llaviana / Pola de Laviana;node;31514811;43.2465404;-5.5659055
33037143201;Uxo;node;31514812;43.2050857;-5.7913229
33044180701;Olloniego / Lluniego;node;31514813;43.2988348;-5.8244619
33044300801;Trubia;node;31514815;43.3465388;-5.9691453
38017001404;El Médano;node;32316580;28.0462004;-16.5373905
38006000501;Los Cristianos;node;32317282;28.0526298;-16.7170000
38006001701;Playa de las Américas;node;32317283;28.0601971;-16.7310532
38017001706;San Isidro;node;32317527;28.0733930;-16.5564131
38052000401;Vilaflor de Chasna;node;32317529;28.1590955;-16.6365089
31245000101;Urzainqui / Urzainki;node;32446996;42.8314030;-0.9460763
31210000301;Roncal / Erronkari;node;32447062;42.8074494;-0.9555751
20056001299;Olatz;node;32620710;43.2882777;-2.4073984
23043001499;Tranco;node;32681324;38.1762837;-2.7948999
07057000801;Santanyí;node;32727982;39.3543115;3.1294799
33026090300;Grau / Grado;node;32847080;43.3892839;-6.0687347
33010040401;Grullos;node;32847081;43.4342813;-6.0615193
33051080601;Pravia;node;32847082;43.4895855;-6.1139029
35015000701;Ajuy;node;33080052;28.3995784;-14.1556275
35015001100;La Pared;node;33105405;28.2121335;-14.2144218
35014000202;Corralejo;node;33105729;28.7307235;-13.8651907
35015000901;Esquinzo;node;33106071;28.0782253;-14.3002366
35015001002;Risco del Paso;node;33107136;28.1133840;-14.2634782
35014000401;Lajares;node;33107736;28.6802009;-13.9340479
35014000501;La Oliva;node;33108184;28.6123965;-13.9276759
35015000501;Pájara;node;33108334;28.3497867;-14.1080857
35030001001;Tuineje;node;33108438;28.3256078;-14.0460201
35003000201;Antigua;node;33108573;28.4204111;-14.0130914
18116000101;Lanjarón;node;33345529;36.9181138;-3.4801561
18147001001;Órgiva;node;33345530;36.9004942;-3.4238759
18176000101;Soportújar;node;33346729;36.9280751;-3.4052741
18043000201;Carataunas;node;33346743;36.9229148;-3.4083624
18042000101;Capileira;node;33350836;36.9613562;-3.3585582
18032000101;Bubión;node;33352789;36.9488544;-3.3570047
50020000101;Alhama de Aragón;node;33612833;41.2965036;-1.8949513
50192000301;Nuévalos;node;33612835;41.2119305;-1.7904307
31261000401;Yesa;node;33685298;42.6201760;-1.2021437
47119000101;Piñel de Arriba;node;34094588;41.6988945;-4.1284803
47001000101;Adalia;node;34094636;41.6486513;-5.1213107
47118000101;Piñel de Abajo;node;34094641;41.6748572;-4.1476710
47002000101;Aguasal;node;34094644;41.2748427;-4.6531667
47004000101;Alaejos;node;34094785;41.3074062;-5.2160343
47121000202;Pollos;node;34094816;41.4433109;-5.1254800
47005000101;Alcazarén;node;34094818;41.3709297;-4.6715674
47163000101;Pobladura de Sotiedra;node;34094820;41.6530196;-5.2831850
47006000101;Aldea de San Miguel;node;34094821;41.4613263;-4.6160576
47123000101;Pozal de Gallinas;node;34094823;41.3178397;-4.8382239
47172000101;Aldealbar;node;34094825;41.4951932;-4.3547859
47122000201;Portillo;node;34094827;41.4787706;-4.5887736
47007000101;Aldeamayor de San Martín;node;34094828;41.5121927;-4.6398863
47114000101;Aldeayuso;node;34094830;41.5607128;-4.1347633
